,# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,References
GJ 273,GJ 273 b,Confirmed,0.00922,,,0.0069,0.003,0.003,,,,18.64,0.015,0.015,0.091,0.01,0.01,0.1,0.03,0.25,80,,,,2017,19/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.5,0.45,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,Luyten b,,GJ 273,111.8520417,5.225777789,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5,,,,3382,49,49,,,,
GJ 273,GJ 273 c,Confirmed,0.00374,,,0.0038,0.0013,0.0013,,,,4.72322,0.00081,0.00081,0.036,0.004,0.004,0.17,0.12,0.18,80,,,,2017,19/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.31,0.31,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,Luyten c,,GJ 273,111.8520417,5.225777789,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5,,,,3382,49,49,,,,
GJ 273,GJ 273 d,Confirmed,0.03448,,,0.034,0.011,0.0123,,,,413.9,5.5,4.3,0.712,0.076,0.062,0,0.17,0.17,80,,,,2019,19/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,2.15,0.61,0.61,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,Luyten d,,GJ 273,111.8520417,5.225777789,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5,,,,3382,49,49,,,,
GJ 273,GJ 273 e,Confirmed,0.0297,,,0.0293,0.0123,0.0135,,,,542,16,16,0.849,0.092,0.083,0,0.03,0.2,80,,,,2019,19/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,1.73,0.66,0.66,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,Luyten e,,GJ 273,111.8520417,5.225777789,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5,,,,3382,49,49,,,,
GJ 876,GJ 876 b,Confirmed,3.6,,,,,,,,,61.03474,0.0008,0.0008,0.214,0.001,0.001,0.002,0.00219,0.0014,101,0.4,0.4,0.044323,2000,25/07/2022,35.1,1.9,6.7,,,,,,,,,,,,,,,,,,,,,,212.07,0.26,0.27,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,,"Gaia Collaboration (Arenou, F., et al.) 2023, A&A 674, A34; Trifonov, T., et al. 2018, A&A 609, A117; Rosenthal, L. J. et al. 2021, ApJS 255 8"
GJ 876,GJ 876 d,Confirmed,0.021741,0.00085,0.00069,,,,,,,1.938,0.001,0.001,0.021,0.001,0.001,0.082,0.025,0.043,59,,,0.004427,2005,01/04/2021,272.8,29.5,21.8,,,,,,,,,,,,,,,,,,,,,,6.14,0.22,0.23,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,,"Trifonov, T., et al. 2018, A&A, 609, A117; Rivera, E. J. et al. 2010 ApJ 719 890; Correia, A. C. M. et al. 2010, A&A 511, A21"
GJ 876,GJ 876 e,Confirmed,0.04855,0.004,0.00406,,,,,,,124.4,0.7,0.3,0.345,0.002,0.001,0.04,0.004,0.021,59,,,0.071128,2010,01/04/2021,263.6,46,28.3,,,,,,,,,,,,,,,,,,,,,,3.39,0.28,0.29,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,,"Gaia Collaboration (Arenou, F., et al.) 2023, A&A, 674, A34"
GJ 9827,GJ 9827 b,Confirmed,0.01532,0.00116,0.00116,,,,0.13641,0.00517,0.00517,1.2089765,2.30E-06,2.30E-06,0.01866,0.0002,0.0002,0,,,85.8,1,1,,2017,09/09/2020,,,,,,,,,,2457738.826,0.00026,0.00026,,,,,,,0.57,0.013,0.013,,,,4.1,0.3,0.3,1043.5,36,36,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GJ 9827,352.1041667,-1.286388897,10.4,,,,,30.3,1.6,1.6,-0.28,0.12,0.12,0.659,0.06,0.06,0.651,0.065,0.065,K6V,,,,4255,110,110,,,,"Kosiarek M. R. et al. 2021, AJ 161 47; Teske, J. K. et al. 2018, AJ 155 148; Niraula, P. et al. 2017, AJ 154 266; Rodriguez, J. E. et al. +2018, AJ 155 72"
GJ 9827,GJ 9827 c,Confirmed,0.00604,0.00154,0.00154,,,,0.107,0.0041,0.0041,3.648086,0.0001,0.0001,0.03896,0.0004,0.0004,,,,87.8,0.57,0.57,,2017,09/09/2020,,,,,,,,,,2457742.199,0.00072,0.00072,,,,,,,0.53,0.14,0.14,,,,1.13,0.3,0.3,721.9,25,25,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GJ 9827,352.1041667,-1.286388897,10.4,,,,,30.3,1.6,1.6,-0.28,0.12,0.12,0.659,0.06,0.06,0.651,0.065,0.065,K6V,,,,4255,110,110,,,,"Kosiarek M. R. et al. 2021, AJ 161 47; Teske, J. K. et al. 2018, AJ 155 148; Niraula, P. et al. 2017, AJ 154 266; Rodriguez, J. E. et al. +2018, AJ 155 72"
GJ 9827,GJ 9827 d,Confirmed,0.01076,0.00195,0.00195,,,,0.17441,0.00669,0.00669,6.20183,1.00E-05,1.00E-05,0.0555,0.00057,0.00057,0,,,87.39,0.23,0.23,,2017,09/09/2020,,,,,,,,,,2457740.961,0.00045,0.00045,,,,,,,0.91,0.09,0.09,,,,1.7,0.3,0.3,604.9,20,20,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GJ 9827,352.1041667,-1.286388897,10.4,,,,,30.3,1.6,1.6,-0.28,0.12,0.12,0.659,0.06,0.06,0.651,0.065,0.065,K6V,,,,4255,110,110,,,,"Kosiarek M. R. et al. 2021, AJ 161 47; Teske, J. K. et al. 2018, AJ 155 148; Niraula, P. et al. 2017, AJ 154 266; Rodriguez, J. E. et al. +2018, AJ 155 72"
HD 136352,HD 136352 b,Confirmed,0.01454,0.00142,0.00142,0.0166,0.0025,0.0025,0.13222,0.00517,0.00517,11.57779,0.001,0.001,0.0969,0.0019,0.0019,0.079,0.053,0.068,88.86,0.3,0.54,0.006304,2011,23/07/2020,172,67,67,2458622.4,1.9,2.1,,,,2458631.767,0.0023,0.0023,2458625.63,2,2,,,,0.41,0.2,0.12,,,,1.4,0.13,0.13,911,18,18,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,Primary Transit,,,HD 136352,230.45,-48.3175,5.65,,,,,14.8,0.08,0.08,,,,,,,,,,G4V,,,,,,,,,nu2 Lup,"Ehrenreich, D. et al. 2023 A&A 671, A154; Kane, S. R. et al. 2020, AJ 160 129"
HD 136352,HD 136352 c,Confirmed,0.03552,0.00217,0.0023,0.0358,0.0031,0.0031,0.183854,0.00696,0.00696,27.5909,0.0031,0.028,0.1729,0.003,0.0034,0.037,0.026,0.039,88.658,0.057,0.057,0.01125,2011,23/07/2020,142,92,86,2458626.9,6.6,6.6,,,,2458650.895,0.001,0.001,2458636.93,0.67,0.39,,,,0.854,0.016,0.013,,,,2.55,0.13,0.13,682,14,14,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,Primary Transit,,,HD 136352,230.45,-48.3175,5.65,,,,,14.8,0.08,0.08,,,,,,,,,,G4V,,,,,,,,,nu2 Lup,"Ehrenreich, D. et al. 2023 A&A 671, A154; Kane, S. R. et al. 2020, AJ 160 129"
HD 136352,HD 136352 d,Confirmed,0.02775,0.00296,0.00296,0.03,0.011,0.011,0.2284,0.008,0.008,107.63,0.19,0.19,0.4285,0.0076,0.0085,0.075,0.053,0.085,,,,0.02777,2011,01/07/2021,185,87,79,2458510,25,25,,,,,,,,,,,,,,,,,,,1.51,0.14,0.14,433,9,9,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,nu2 Lupi d,,HD 136352,230.45,-48.3175,5.65,,,,,14.8,0.08,0.08,,,,,,,,,,G4V,,,,,,,,,nu2 Lup,"Ehrenreich, D. et al. 2023 A&A 671, A154; Kane, S. R. et al. 2020, AJ 160 129"
HD 191939,HD 191939 b,Confirmed,0.0327,0.0028,0.0028,,,,0.3024,0.0062,0.0062,8.88029,2.00E-05,2.00E-05,0.078,0.004,0.004,0,,,88.06,0.08,0.08,,2020,06/08/2021,,,,,,,,,,2458715.356,0.0004,0.0004,,,,,,,0.62,0.02,0.02,,,,3.8,0.3,0.3,893,36,36,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HD 191939,302.025,66.8502778,9,,,,,53.608,0.073,0.073,-0.16,0.08,0.08,0.81,0.04,0.04,0.945,0.021,0.021,G8V,7,3,3,5427,50,50,,,,"Lubin, J. et al. 2022, AJ 163 101; Orell-Miquel, J. et al. 2023, A&A 669, A40"
HD 191939,HD 191939 c,Confirmed,0.0227,0.0044,0.0044,,,,0.2748,0.062,0.062,28.5805,0.0002,0.0002,0.17,0.002,0.002,0,,,89.09,0.03,0.03,,2020,06/08/2021,,,,,,,,,,2458726.053,0.0006,0.0006,,,,,,,0.63,0.02,0.02,,,,1.8,0.3,0.3,605,24,24,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HD 191939,302.025,66.8502778,9,,,,,53.608,0.073,0.073,-0.16,0.08,0.08,0.81,0.04,0.04,0.945,0.021,0.021,G8V,7,3,3,5427,50,50,,,,"Lubin, J. et al. 2022, AJ 163 101; Orell-Miquel, J. et al. 2023, A&A 669, A40"
HD 191939,HD 191939 d,Confirmed,0.0182,0.0182,0,,,,0.2712,0.0062,0.0062,38.3525,0.0003,0.0003,0.207,0.003,0.003,0,,,89.43,0.04,0.04,,2020,06/08/2021,,,,,,,,,,2458743.552,0.0007,0.0007,,,,,,,0.438,0.088,0.074,,,,0.6,0.3,0.3,549,22,22,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HD 191939,302.025,66.8502778,9,,,,,53.608,0.073,0.073,-0.16,0.08,0.08,0.81,0.04,0.04,0.945,0.021,0.021,G8V,7,3,3,5427,50,50,,,,"Lubin, J. et al. 2022, AJ 163 101; Orell-Miquel, J. et al. 2023, A&A 669, A40"
HD 219134,HD 219134 b,Confirmed,0.01343,0.00107,0.00107,,,,0.134,0.00509,0.00509,3.093292,1.10E-05,1.10E-05,0.037,,,0,0,0.13,85.058,0.08,0.08,,2015,16/09/2022,,,,2449999.5,0.2,0.2,,,,2458765.955,0.00047,0.00047,,,,,,,,,,,,,1.9,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,TOI-1469 b,,HD 219134,348.3208333,57.16833334,5.57,,,,,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699,16,16,,,,"Ligi, R. et al. 2019, A&A 631, A92; Gillon, M. et al. 2017, Nat Astron 1, 0056; Vogt, S. S. et al. 2015, ApJ 814 12; Seager, S. et al. 2021, AJ 161 117; Motalebi, F. et al. 2015, A&A 584, A72"
HD 219134,HD 219134 c,Confirmed,0.01246,0.00107,0.00107,0.004754,0.000148,0.000148,0.12624,0.00437,0.00437,6.765159,3.60E-05,3.30E-05,0.062,,,0,0,0.26,,,,,2015,16/02/2021,,,,2449908.5,0.5,0.5,,,,2458766.169,0.00066,0.00069,,,,,,,,,,,,,1.4,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Theoretical,Primary Transit,,,HD 219134,348.3208333,57.16833334,5.57,,,,,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699,16,16,,,,"Ligi, R. et al. 2019, A&A 631, A92; Gillon, M. et al. 2017, Nat Astron 1, 0056; Vogt, S. S. et al. 2015, ApJ 814 12; Seager, S. et al. 2021, AJ 161 117; Motalebi, F. et al. 2015, A&A 584, A72"
HD 219134,HD 219134 d,Confirmed,0.05236,,,0.067,0.004,0.004,,,,46.71,0.01,0.01,0.225,,,0,,,,,,,2015,24/09/2019,,,,2449964,1,1,,,,,,,,,,,,,,,,,,,4.4,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,,,HD 219134,348.3208333,57.16833334,5.57,,,,,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699,16,16,,,,"Ligi, R. et al. 2019, A&A 631, A92; Gillon, M. et al. 2017, Nat Astron 1, 0056; Vogt, S. S. et al. 2015, ApJ 814 12; Seager, S. et al. 2021, AJ 161 117; Motalebi, F. et al. 2015, A&A 584, A72"
HD 219134,HD 219134 f,Confirmed,0.0208,,,0.028,0.003,0.003,,,,22.805,0.005,0.005,0.139,2.00E-05,2.00E-05,0,,,,,,,2015,24/09/2019,,,,2449983,1,1,,,,,,,,,,,,,,,,,,,2.3,0.2,0.2,,,,,,,,,,Published in a refereed paper,Default,,,,,HD 219134,348.3208333,57.16833334,5.57,,,,,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699,16,16,,,,"Vogt, S. S. et al. 2015, ApJ 814 12; Ligi, R. et al. 2019, A&A 631, A92"
HD 23472,HD 23472 b,Confirmed,0.02618,0.00249,0.00249,,,,0.16701,0.11785,0.11785,17.667087,4.20E-05,4.20E-05,0.1162,0.0018,0.0018,0.072,0.04,0.04,88.93,0.16,0.16,,2018,15/10/2022,114,210,37,,,,,,,2458360.664,0.0012,0.0012,,,,,,,0.69,0.09,0.64,,,,2.68,0.24,0.24,543,18,18,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-174 b,,HD 23472,55.45833335,-62.76694446,9.7,,,,,39.1,0.04,0.04,,,,0.75,0.03,0.04,0.73,0.01,0.01,K3.5V,,,,,,,,,TOI-174,
HD 23472,HD 23472 c,Confirmed,0.01073,0.0025,0.00277,,,,0.1668,0.0107,0.0107,29.79749,0.00014,0.00014,0.1646,0.0024,0.0018,0.063,0.043,0.054,89.1,0.007,0.009,,2018,15/10/2022,2,128,116,,,,,,,2458370.104,0.0019,0.0019,,,,,,,0.785,0.054,0.043,,,,0.92,0.23,0.23,467,19,19,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-174 c,,HD 23472,55.45833335,-62.76694446,9.7,,,,,39.1,0.04,0.04,,,,0.75,0.03,0.04,0.73,0.01,0.01,K3.5V,,,,,,,,,TOI-174,
HD 23472,HD 23472 d,Confirmed,0.00173,0.0006,0.0006,,,,0.0669,0.00509,0.00598,3.97664,4.40E-05,3.00E-05,0.04298,0.00065,0.00065,0.07,0.05,0.05,87.95,0.87,1.2,,2019,15/10/2022,19,117,99,,,,,,,2458357.39,0.006,0.006,,,,,,,0.47,0.28,0.16,,,,0.29,0.11,0.11,909,32,35,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-174 d,,HD 23472,55.45833335,-62.76694446,9.7,,,,,39.1,0.04,0.04,,,,0.75,0.03,0.04,0.73,0.01,0.01,K3.5V,,,,,,,,,TOI-174,
HD 23472,HD 23472 e,Confirmed,0.00227,0.00088,0.00088,,,,0.07298,0.0058,0.0071,7.90754,0.00011,0.00011,0.068,0.001,0.001,0.07,0.05,0.08,88.63,0.56,0.8,,2022,22/10/2022,46,179,100,,,,,,,,,,,,,,,,0.5,0.29,0.18,,,,0.3,-0.11,0.12,723,28,28,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-174 e,,HD 23472,55.45833335,-62.76694446,9.7,,,,,39.1,0.04,0.04,,,,0.75,0.03,0.04,0.73,0.01,0.01,K3.5V,,,,,,,,,TOI-174,
HD 23472,HD 23472 f,Confirmed,0.00242,0.0013,0.00138,,,,0.10144,0.00687,0.00749,12.1621839,9.90E-05,0.00012,,,,0.07,0.05,0.05,88.81,0.32,0.58,,2019,15/10/2022,4,-113,97,,,,,,,2458360.075,0.0078,0.0049,,,,,,,0.57,-0.26,0.1,,,,0.29,0.11,0.11,630,27,27,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,T01-174 f,,HD 23472,55.45833335,-62.76694446,9.7,,,,,39.1,0.04,0.04,,,,0.75,0.03,0.04,0.73,0.01,0.01,K3.5V,,,,,,,,,TOI-174,
HD 69830,HD 69830 b,Confirmed,0.1427,0.0928,inf,0.0321,,,,,,8.6682,0.0004,0.0004,0.0785,,,0.07,0.03,0.03,13,13,27,0.00623,2006,13/02/2019,340,26,26,2453496.8,0.6,0.6,,,,,,,,,,,,,,,,,,,3.47,0.11,0.11,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,,,-0.05,0.02,0.02,0.86,0.03,0.03,0.895,0.005,0.005,K0V,7,3,3,5385,20,20,IR Excess,,,
HD 69830,HD 69830 c,Confirmed,0.1649,0.1072,inf,0.0371,,,,,,31.601,0.006,0.006,0.186,,,0.06,0.05,0.05,13,13,27,0.014762,2006,12/02/2019,221,35,35,2453469.6,2.8,2.8,,,,,,,,,,,,,,,,,,,2.66,0.13,0.13,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,,,-0.05,0.02,0.02,0.86,0.03,0.03,0.895,0.005,0.005,K0V,7,3,3,5385,20,20,IR Excess,,,
HD 69830,HD 69830 d,Confirmed,0.2529,0.1644,inf,0.0569,,,,,,200.57,0.37,0.37,0.63,,,0.1,0.06,0.06,13,13,27,0.05,2006,13/02/2019,224,61,61,2453358,34,34,,,,,,,,,,,,,,,,,,,1.77,0.12,0.12,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,,,-0.05,0.02,0.02,0.86,0.03,0.03,0.895,0.005,0.005,K0V,7,3,3,5385,20,20,IR Excess,,,
HR 8799,HR 8799 b,Confirmed,7,2,4,,,,1.2,0.1,0.1,164250,,,68,,,0,,,28,,,1.725888,2008,07/07/2022,,,,,,,,,,,,,,,,,,,,,,2047.1,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,"CH4, CO, H2O",HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396,
HR 8799,HR 8799 c,Confirmed,8.3,0.6,0.6,,,,1.3,0,0,82145,,,42.9,,,0,,,28,,,1.088832,2008,08/07/2022,,,,,,,,,,,,,,,,,,,,,,1936.7,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,"CO, H2O",HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396,
HR 8799,HR 8799 d,Confirmed,8.3,0.6,0.6,,,,1.2,0,0,41054,,,27,,,0.1,,,28,,,0.685279,2008,12/04/2019,80.2,,,,,,,,,,,,,,,,,,,,,2003.7,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396,
HR 8799,HR 8799 e,Confirmed,9.6,1.9,1.9,,,,1.17,0.13,0.13,18000,0,0,16.4,1.1,2.1,0.15,0.08,0.08,25,8,8,0.36802,2010,28/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,,,,,,Published in a refereed paper,Imaging,Astrometry,Theoretical,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396,
K2-133,K2-133 b,Confirmed,0.0069,,,,,,0.12,0.007,0.007,3.07133,0.00011,0.00011,0.03194,0.00026,0.00025,,,,87.6,0.15,0.18,,2017,05/02/2021,,,,,,,2457821.315,0.0015,0.0016,2457821.317,0.0014,0.0012,,,,,,,0.63,0.054,0.052,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"K2-133 b, 2MASS J04403562+2500361 b, EPIC 247887989 b, LP 358-499 b, WISE J044035.78+250035.5 b",,K2-133,70.148567,25.010006,,,11.084,10.487,,75.2,0.2,0.2,,,,0.46,0.01,0.01,0.46,0.02,0.02,M1.5 V,,,,3655,80,80,,,"K2-133,  EPIC 247887989, 2MASS J04403562+2500361, EPIC 247887989, LP 358-499, WISE J044035.78+250035.5",
K2-133,K2-133 c,Confirmed,0.01,,,,,,0.143,0.008,0.008,4.86784,0.00012,0.00012,0.04341,0.00035,0.00034,,,,88.21,0.08,0.11,,2017,05/02/2021,,,,,,,2457823.769,0.0011,0.0011,2457823.766,0.0009,0.0023,,,,,,,0.64,0.047,0.046,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"K2-133  c, 2MASS J04403562+2500361 c, EPIC 247887989 c, LP 358-499 c, WISE J044035.78+250035.5 c",,K2-133,70.148567,25.010006,,,11.084,10.487,,75.2,0.2,0.2,,,,0.46,0.01,0.01,0.46,0.02,0.02,M1.5 V,,,,3655,80,80,,,"K2-133,  EPIC 247887989, 2MASS J04403562+2500361, EPIC 247887989, LP 358-499, WISE J044035.78+250035.5",
K2-133,K2-133 d,Confirmed,0.026,,,,,,0.179,0.01,0.01,11.02454,0.00035,0.00036,0.07487,0.0006,0.00059,,,,89.4,0.08,0.1,,2017,05/02/2021,,,,,,,2457826.171,0.0012,0.0012,2457826.174,0.0013,0.0007,,,,,,,0.37,0.066,0.055,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"K2-133 d, 2MASS J04403562+2500361 d, EPIC 247887989 d, LP 358-499 d, WISE J044035.78+250035.5 d",,K2-133,70.148567,25.010006,,,11.084,10.487,,75.2,0.2,0.2,,,,0.46,0.01,0.01,0.46,0.02,0.02,M1.5 V,,,,3655,80,80,,,"K2-133,  EPIC 247887989, 2MASS J04403562+2500361, EPIC 247887989, LP 358-499, WISE J044035.78+250035.5",
K2-138,K2-138 b,Confirmed,0.0098,0.0035,0.0035,,,,0.14,0.015,0.025,2.35322,0.00036,0.00036,0.0338,0.00024,0.00024,0.403,0.403,0,86.9,4.6,2.2,,2017,26/03/2021,244,97,32,,,,2457773.317,0.0038,0.0037,2457773.317,0.0009,0.0009,,,,,,,0.5,0.34,0.33,,,,1.56,0.53,0.53,1308,24,24,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,"2MASS J23154776-1050590 b, EPIC 245950175 b, WISE J231547.76-105059.0 b",,K2-138,348.949036,-10.849696,12.21,,10.756,10.384,,183,17,17,0.16,0.04,0.04,0.93,0.06,0.06,0.86,0.08,0.08,K1 V,,,,5378,60,60,,,"EPIC 245950175, 2MASS J23154776-1050590, WISE J231547.76-105059.0",
K2-138,K2-138 c,Confirmed,0.0198,0.0038,0.0038,,,,0.225,0.014,0.03,3.55987,0.00022,0.00023,0.04454,0.00032,0.00032,0.296,0.296,0,87.5,3.3,1.8,,2017,26/03/2021,200,27,60,,,,2457740.322,0.0027,0.0025,2457740.322,0.00089,0.00089,,,,,,,0.47,0.32,0.32,,,,2.8,0.55,0.55,1140,17,21,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,"2MASS J23154776-1050590 c, EPIC 245950175 c, WISE J231547.76-105059.0 c",,K2-138,348.949036,-10.849696,12.21,,10.756,10.384,,183,17,17,0.16,0.04,0.04,0.93,0.06,0.06,0.86,0.08,0.08,K1 V,,,,5378,60,60,,,"EPIC 245950175, 2MASS J23154776-1050590, WISE J231547.76-105059.0",
K2-138,K2-138 d,Confirmed,0.0249,0.0044,0.0044,,,,0.237,0.016,0.035,5.40478,0.00046,0.00048,0.05883,0.00042,0.00042,0.348,0.348,0,87.9,2.8,1.5,,2017,26/03/2021,83,38,82,,,,2457743.161,0.0037,0.0036,2457743.161,,,,,,,,,0.47,0.32,0.31,,,,3,0.5,0.5,992,18,18,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,"2MASS J23154776-1050590 d, EPIC 245950175 d, WISE J231547.76-105059.0 d",,K2-138,348.949036,-10.849696,12.21,,10.756,10.384,,183,17,17,0.16,0.04,0.04,0.93,0.06,0.06,0.86,0.08,0.08,K1 V,,,,5378,60,60,,,"EPIC 245950175, 2MASS J23154776-1050590, WISE J231547.76-105059.0",
K2-138,K2-138 e,Confirmed,0.0409,0.006,0.006,,,,0.294,0.016,0.031,8.26144,0.00044,0.00045,0.07807,0.00056,0.00056,0.315,0.315,0,88.7,1.66,0.93,,2017,26/03/2021,180,44,40,,,,2457740.645,0.0021,0.002,2457740.646,0.00081,0.00083,,,,,,,0.44,0.3,0.31,,,,4.31,0.67,0.67,861,13,16,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,"2MASS J23154776-1050590 e, EPIC 245950175 e, WISE J231547.76-105059.0 e",,K2-138,348.949036,-10.849696,12.21,,10.756,10.384,,183,17,17,0.16,0.04,0.04,0.93,0.06,0.06,0.86,0.08,0.08,K1 V,,,,5378,60,60,,,"EPIC 245950175, 2MASS J23154776-1050590, WISE J231547.76-105059.0",
